id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions,question
cap.aikit.authored-relations,capability,,,,[],Use links already present in supported text,Parse Markdown links and OKF properties with source spans,Resolved edges and retained ambiguous or unresolved evidence,Implemented Markdown and OKF relation path; 21 selected authored-Wiki adapter tests passed on 2026-09-06; HTML convention is not automatic staging input,agent-inference,../github-recovery-mirror/mirror/ai-kit/issues/126.json,crates/aikit-adapters/src/authored_wiki_source.rs;crates/aikit-adapters/src/projectcentral_authored_wiki.rs,crates/aikit-adapters/src/authored_wiki_source.rs,aikit.html#q3/source-contract,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""EpiLogos/ai-kit#217""], ""code_basis"": {""crates/aikit-adapters/src/authored_wiki_source.rs"": ""eb64cef405fd085bc52a010410f910e11384a852fea60c8e6bbca10a3c0351e7"", ""crates/aikit-adapters/src/projectcentral_authored_wiki.rs"": ""e2e025a3bacfd950ad3c4691189c5b7f8696ad1ffb39f09a5693a9ab9d113c96""}}, ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""The authored-relation compiler is implemented as an adapter; this CLI has no dedicated relation-compilation command.""}, ""last_reconciled_at"": ""2026-09-08T15:24:00.558081+00:00""}",
cap.aikit.projectcentral,capability,,,,[],Enter human and Agent project material faithfully,Discover descriptors and explicitly read permitted source,Source identity and Central-issued standing retained,"Implemented source contract; the knowledge service obtains the Central Wiki reading through the configured `ctrl` executable when the Central root is present. SourcePool material is now identified structurally before the Wiki content sniff, verified against the live Return of Zero corpus on 2026-09-08",agent-inference,../github-recovery-mirror/mirror/ai-kit/issues/102.comments.json,crates/aikit-adapters/src/projectcentral.rs;crates/aikit-cli/src/app/knowledge.rs;crates/aikit-adapters/src/central_wiki.rs,crates/aikit-adapters/src/projectcentral.rs;crates/aikit-adapters/src/central_wiki.rs,aikit.html#q2/investigate,,,"{""basis"": ""Central Wiki discovery retains owner-declared register identity and exact-byte revisions; the knowledge runtime projects validated objects into a horizon-scoped SQLite cache without treating its rows or path as identity. Discovery identifies SourcePool material by parsing it, before the Wiki's `okf-wiki/v1` content sniff runs. An authored file that discusses the wiki profile puts that literal inside a source binding's body, which made the sniff claim the shard as malformed Wiki material and warn on every search."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""ProjectCentral material is encountered through the shared knowledge faculty; this CLI has no dedicated ProjectCentral command.""}, ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""last_reconciled_at"": ""2026-09-09T16:03:25.077583+00:00"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""hermes-nara:session:2026-09-07-gateway-reconcile"", ""EpiLogos/ai-kit#192"", ""EpiLogos/ai-kit#217"", ""EpiLogos/ai-kit#219"", ""wiki-continuity:per-register-revisions"", ""wiki-continuity:sqlite-provider"", ""wiki-continuity:authored-source-findability"", ""wiki-continuity:tags-ride-the-source-pool"", ""wiki-continuity:one-query-path"", ""EpiLogos/ai-kit#259""], ""code_basis"": {""crates/aikit-adapters/src/central_wiki.rs"": ""b87215b2381674922715d469c29afe382fd1e272df56f1ca44d7f027ddd71eb1"", ""crates/aikit-adapters/src/projectcentral.rs"": ""09c8f9321cef65c1e1b8fcdc99115530b2e33cdcb8a8efa2544eb88a1f3f7f01"", ""crates/aikit-cli/src/app/knowledge.rs"": ""913bd1777c2d3a9d8bf5c057f9eda2993fb2b2f2c101aa27bda9132c54252118""}, ""updated_at"": ""2026-09-09""}}",
cap.aikit.living-knowledge,capability,,,,[],Know which readings depend on changed source,Track dependencies and inspect affected readings,A visible basis for deliberate refresh and return,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,../github-recovery-mirror/mirror/ai-kit/issues/118.json,crates/aikit-core/src/knowledge_living_relations.rs,crates/aikit-core/tests/living_knowledge_acceptance.rs,aikit.html#q2/maintain,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-core/src/knowledge_living_relations.rs"": ""fe1951920d937715368e599dbe0e92ecbde0404467eb141e352e376eea371aa4""}}, ""cli_commands"": [""knowledge status"", ""knowledge history"", ""knowledge forget destination"", ""knowledge forget route"", ""knowledge forget project"", ""knowledge forget all""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.wiki-shapes,capability,,,,[],Navigate supplied whole and relation structure,Derive bounded shape addresses from the pinned contract,Inspectable structural reading with source basis,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,../github-recovery-mirror/mirror/ai-kit/issues/158.json,crates/aikit-cli/src/wiki_shape.rs;crates/aikit-core/src/knowledge_wiki_shape.rs,crates/aikit-core/src/knowledge_wiki_shape.rs,aikit.html#q3/source-contract,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown. The QL shape contract has its own product surface: constellations declare, validate against the contract (conjugate-requires-direct, return-through-declared-anchor with ground kind, declared node stance) and compress through the 0//1 trinity; an unrecognised future shape ref is preserved so the theory evolves without an engine release."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""hermes-nara:session:2026-09-07-gateway-reconcile"", ""EpiLogos/ai-kit#192"", ""wiki-continuity:case18-case19-completion""], ""code_basis"": {""crates/aikit-core/src/knowledge_wiki_shape.rs"": ""53fe3f67d0c4d2a3857a25039ad000ed26be17888e401b1f3054fd2616955c62"", ""crates/aikit-cli/src/wiki_shape.rs"": ""cd40d241968c3c7505b4901c015b02a42000f0c2a6225c00589be469e3ca35ae""}}, ""cli_commands"": [""knowledge frame"", ""wiki-shape declare"", ""wiki-shape validate"", ""wiki-shape compress""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-09T01:05:57.102343+00:00""}",
cap.aikit.reflection,capability,,,,[],Inspect whether product meaning matches code,Traverse explicit semantic and code bindings,A discrepancy or relationship grounded in both sources,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/v2/21-PROJECT-REFLECTION-AND-LOCAL-ARTICULATION.md,crates/aikit-core/src/project_reflection.rs,crates/aikit-core/tests/project_reflection_roundtrip.rs,aikit.html#q2/investigate,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-core/src/project_reflection.rs"": ""56b3e46f1705d71add0e0455b6ba04c79b7f6491203d805fd6ad5494017dda27""}}, ""cli_commands"": [""knowledge frame"", ""knowledge route""], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""The CLI composes reflection through knowledge routes and frames; it has no dedicated reflection verb.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.methods,capability,,,,[],Discover situated reusable praxis and compose repertoires,Classify Skills by METHOD: without changing identity and inspect direct/transitive nested SkillSet relations,Situated Skills retain ordinary source/trust/projection while parent and child repertoire participation stays explainable,Implemented source contract; full repository verification passed on 2026-09-08 with 1833 tests,implementation-fact,docs/v2/20-PRAXIS-METHODS-AND-SKILL-COMPOSITION.md,crates/aikit-core/src/method.rs;crates/aikit-core/src/composition_mutation.rs;crates/aikit-core/src/resource/operative.rs,crates/aikit-core/src/method.rs;crates/aikit-core/tests/profile_composition_v2.rs,aikit.html#q1/praxis,,,"{""basis"": ""Method is the same Capability/Skill identity classified by METHOD:; nested SkillSet application relations expose the existing recursive domain model without inventing a second Method resource or child-set mutation."", ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""hermes-nara:session:2026-09-08-acp-residue-reconcile"", ""user-determination:2026-09-08-method-is-skill"", ""wiki-continuity:CASE-11-project-recency"", ""https://github.com/EpiLogos/ai-kit/issues/247"", ""https://github.com/EpiLogos/ai-kit/issues/211"", ""https://github.com/EpiLogos/agent-system-design/issues/201"", ""https://github.com/EpiLogos/agent-system-design/commit/1a740b502c121a2eac1e4554c272b35fdebc5c4f"", ""wiki-continuity:one-query-path""], ""code_basis"": {""crates/aikit-core/src/method.rs"": ""a198795085db8f2672b5a9f5aee2a3192de4f23bf66370e9addaffb97ec26982"", ""crates/aikit-core/src/composition_mutation.rs"": ""c2bc71b531fd5b2b38a4d453ef18de88a62fe7d5fd6697b698d0511c6e171374"", ""crates/aikit-core/src/resource/operative.rs"": ""b257e47777020914e290f914abb65d193df0efde7ad5d7aac71a620e04190693""}}, ""cli_commands"": [""method list""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""method list is a classification view over Skills; Method has no separate source lifecycle or resolver command.""}, ""last_reconciled_at"": ""2026-09-09T14:52:11.454530+00:00""}",
cap.aikit.routines,capability,,,,[],Repeat proven work under declared conditions and expose exact authorised occurrences,"Validate the exact Routine, Method proof, trigger and owner-supplied authority receipt relation; idempotently admit and read invocation evidence","A versioned authorised invocation envelope with stable occurrence identity, exact proof/authority provenance and optional provider delivery history",Implemented source contract; 17 exact Routine unit tests and 10 real native CLI/store tests passed on 2026-09-09,implementation-fact,docs/ROUTINE-INVOCATION-EVIDENCE.md,crates/aikit-core/src/routine.rs;crates/aikit-core/src/resource/mod.rs;crates/aikit-store/src/routine_invocation.rs;crates/aikit-cli/src/main.rs;crates/aikit-cli/src/cli.rs,crates/aikit-core/src/routine.rs;crates/aikit-cli/tests/routine_invocation.rs;schemas/aikit.routine-invocation-evidence.v1.schema.json;fixtures/routine-invocation/authorised-scheduled-evidence.json,aikit.html#q1/praxis,,,"{""basis"": ""Routine proof-before-automation now has a public invocation-evidence boundary. AIKit revalidates supplied exact Routine/Method/proof/authority provenance but does not claim an independent external authority query at the file/CLI boundary."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""https://github.com/EpiLogos/ai-kit/issues/247"", ""wiki-continuity:CASE-04-context-pressure"", ""https://github.com/EpiLogos/ai-kit/pull/255"", ""wiki-continuity:one-query-path"", ""EpiLogos/ai-kit#259""], ""code_basis"": {""crates/aikit-core/src/routine.rs"": ""14c000e791fbdc4b50dd2e572f105d686c11c9da09ed49e7511c285e0cdc765e"", ""crates/aikit-core/src/resource/mod.rs"": ""ff0cfc5b191ab7ad53d2a7214420f0a2fc2cf2458f37325177761b86c86d0402"", ""crates/aikit-store/src/routine_invocation.rs"": ""8fc9d686b15713591de11440b8844ae7bba0a6843ce7265422698d74ab1c5bde"", ""crates/aikit-cli/src/main.rs"": ""922ee7b523a3805eff5b3bdcd76d1ed6248aaeb4546486496e71fea942d5287e"", ""crates/aikit-cli/src/cli.rs"": ""e2281754752612e333ca8252d27250c12638a93888beb6cbcdeba77f5859562c""}}, ""cli_commands"": [""routine authorise-invocation"", ""routine invocation"", ""routine invocations""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI admits and reads the same versioned Routine invocation evidence persisted by the AIKit application store.""}, ""last_reconciled_at"": ""2026-09-09T16:03:25.077583+00:00""}",
cap.aikit.composition,capability,,,,[],Select Components that fit the work,Resolve requirements contributions and provider bindings,A body reading with compatibility and limits,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/v2/09-COMPOSABLE-RUNTIME-ENVIRONMENTS.md,crates/aikit-core/src/composition.rs;crates/aikit-adapters/src/actuation_stream_projection.rs;crates/aikit-adapters/src/actor_composition.rs;crates/aikit-adapters/src/actuation_instantiation.rs;crates/aikit-adapters/src/central_agent_profile.rs,crates/aikit-core/tests/composition_v2.rs,aikit.html#q2/compose,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-08"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""hermes-nara:session:2026-09-08-acp-residue-reconcile"", ""EpiLogos/ai-kit#198""], ""code_basis"": {""crates/aikit-core/src/composition.rs"": ""d7f875b975656b956d3e70efb031d6ab649c601a4a28f65a9c542e666fd3cc88"", ""crates/aikit-adapters/src/actuation_stream_projection.rs"": ""46af00031b72bcbbb0b127ff8658873f175564cb2f20e8501b2dc448470d2699"", ""crates/aikit-adapters/src/actor_composition.rs"": ""62884b717f0ffaccdc809a01dfcacb132b5508d08b2129a23abc2731ec8ab7fd"", ""crates/aikit-adapters/src/actuation_instantiation.rs"": ""2db1212dba7f1c786c83d45e75b76b3a69846b39937c4f66b1160a6368d1719d"", ""crates/aikit-adapters/src/central_agent_profile.rs"": ""9a306d6dfaac548c82bfc4da2ef8b7def8a5f824a5f239e1169efc801c5c3e3e""}}, ""cli_commands"": [""compose""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.sessions,capability,,,,[],Continue work through usable surfaces,Inspect declare compare and reconcile session topology,A traceable session with bounded ownership,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,README.md,crates/aikit-core/src/session_space.rs;crates/aikit-adapters/src/agent_connection.rs;crates/aikit-adapters/src/agent_session_host.rs;crates/aikit-adapters/src/session_space_connection.rs;crates/aikit-adapters/src/lib.rs;crates/aikit-adapters/src/connection_process.rs;crates/aikit-adapters/src/interactive_connection.rs;crates/aikit-adapters/src/session_event_queue.rs;crates/aikit-core/src/session_space_application.rs;crates/aikit-cli/src/bin/aikit-session-space.rs;crates/aikit-adapters/src/mux/tmux.rs,crates/aikit-cli/tests/session_integration.rs,aikit.html#q2/compose,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown. Fingerprint refreshed over #209's single added module declaration (pub mod workcell_instance_intake); session topology is untouched by it."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-09"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97"", ""hermes-nara:session:2026-09-07-gateway-reconcile"", ""EpiLogos/ai-kit#192"", ""hermes-nara:session:2026-09-08-acp-residue-reconcile"", ""EpiLogos/ai-kit#198"", ""EpiLogos/ai-kit#201"", ""https://github.com/EpiLogos/ai-kit/issues/247"", ""wiki-continuity:product-ground-debt-2026-09-09"", ""https://github.com/EpiLogos/ai-kit/issues/211"", ""https://github.com/EpiLogos/agent-system-design/issues/201"", ""https://github.com/EpiLogos/agent-system-design/commit/1a740b502c121a2eac1e4554c272b35fdebc5c4f""], ""code_basis"": {""crates/aikit-core/src/session_space.rs"": ""aa7bf295619d3e7d1ed2174c0f546f728812f5dbeeb6299a100a8a386bdcf5c3"", ""crates/aikit-adapters/src/agent_connection.rs"": ""e6f9c1b3664a4c54f8742314f8f178be3eab551ead2018105887969e6974cbd3"", ""crates/aikit-adapters/src/agent_session_host.rs"": ""28eccd5ad69864cd29868c57f116b692b539ae03fbc6b6b86f93888350155754"", ""crates/aikit-adapters/src/session_space_connection.rs"": ""bd766003243b076f8a94c5829029680c3423d6a6b54c957929ad991d71fa7639"", ""crates/aikit-adapters/src/lib.rs"": ""ecebbf503c2ea8c6d8b963790004bbc5f16ad330f1af9ddade5a56ec4e54c72b"", ""crates/aikit-adapters/src/connection_process.rs"": ""d7f389e5eaa07d78f25716afb8418360df05e4c44111961a509ecd034df77669"", ""crates/aikit-adapters/src/interactive_connection.rs"": ""12287b0b4151f9150cc525ba597fd36f46f2eab99902f23c259dbec17d4241fc"", ""crates/aikit-adapters/src/session_event_queue.rs"": ""e4547ee75f54f9ca17c75b0887034e60a9472d29cee4f94d784871963ee239a7"", ""crates/aikit-core/src/session_space_application.rs"": ""e6b43fd8a72b747dd14a4bc23239ded45230adf376ab269ddf5b79d905bed108"", ""crates/aikit-cli/src/bin/aikit-session-space.rs"": ""3976d24df372ac08583409f082aa921941537dd39584fe23a282babb32ef496a"", ""crates/aikit-adapters/src/mux/tmux.rs"": ""a4f49e3deb3e40944d0c8990387ce0cfde61f5657947e1e03defd51c5c4425cd""}}, ""cli_commands"": [""session up"", ""session attach"", ""session list"", ""session diff"", ""session reconcile"", ""session down"", ""task spawn"", ""task list"", ""task close""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build; the separately released aikit-session-space companion is accounted for in cli_companions.""}, ""last_reconciled_at"": ""2026-09-09T12:51:12.418482+00:00"", ""cli_companions"": [{""executable"": ""aikit-session-space"", ""commands"": [""discover""], ""protocol"": ""aikit.session-space-application/v1"", ""source_refs"": [""crates/aikit-cli/src/bin/aikit-session-space.rs"", ""docs/v2/13-WORKING-ENVIRONMENT-PROVIDERS.md""]}]}",
cap.aikit.models,capability,,,,[],Choose an available model for actual requirements,Evaluate roster observations and capability fit,Candidate selection with explicit provider evidence,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/v2/15-MODEL-ROSTER-CAPABILITY-FIT.md,crates/aikit-core/src/model_roster.rs,crates/aikit-core/tests/model_roster_acceptance.rs,aikit.html#q4/providers,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-core/src/model_roster.rs"": ""48e517bf0da874dfb01f11ad54e63beae8ded745e5af7b7ce9bda7642d882f31""}}, ""cli_commands"": [], ""cli_exposure"": {""kind"": ""gap"", ""reason"": ""The model roster capability has implementation evidence, but this CLI exposes no model command family.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.activation,capability,,,,[],Know what a target made operative,Carry evidence-bearing activation receipts in ContextResolution,Standing selection and activation remain independently inspectable,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,../github-recovery-mirror/mirror/ai-kit/issues/153.comments.json,crates/aikit-core/src/context_activation.rs,crates/aikit-core/tests/context_activation_v2.rs,aikit.html#q2/start,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-core/src/context_activation.rs"": ""9f7fa3ee1360ff43fb7566b14c8da000e99f349fb104bb329fa1916af0d0d728""}}, ""cli_commands"": [""enable"", ""disable"", ""use"", ""context bind"", ""context reset""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.procedures,capability,,,,[],Change an environment with a visible boundary,Plan execute and undo a Procedure,Attributable effects with a recovery route,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/SPEC-II-PROCEDURES-AND-INBOX.md,crates/aikit-core/src/procedure.rs,crates/aikit-cli/tests/procedure_commands.rs,aikit.html#q2/compose,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-core/src/procedure.rs"": ""6673e16c1ae5141df33c04704b3b54175de4e2d0a541f8fb9cefc5773c10a2ff""}}, ""cli_commands"": [""procedure plan profile-fork"", ""procedure diff"", ""procedure run"", ""procedure undo"", ""procedure list"", ""set rename"", ""set delete"", ""inbox"", ""capture"", ""promote"", ""bypass issue"", ""bypass list"", ""bypass revoke"", ""trust record"", ""trust show""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.explain,capability,,,,[],Understand how the effective world arose,Read causal explanation and recorded changes,Selection and change traces useful for diagnosis,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/v2/02-RESOLUTION-AND-CONTEXT-COGNITION.md,crates/aikit-core/src/explain_history.rs,crates/aikit-cli/tests/explain_history_production_v2.rs,aikit.html#q3/resolution,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-core/src/explain_history.rs"": ""aa88d3f5a7d5f38687a32f04b7ee5ba7e20642934548d027c745ac200eb18589""}}, ""cli_commands"": [""explain"", ""history"", ""log export"", ""jobs"", ""failures"", ""bypasses"", ""doctor""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
cap.aikit.familiarity,capability,,,,[],Reach familiar relevant resources efficiently,Rank eligible candidates from recorded use,Faster access with exact refs and authority preserved,Implemented source contract; linked tests not freshly executed in this documentation pass,agent-inference,docs/SPEC-III-SKILLSETS-AND-FRECENCY.md,crates/aikit-core/src/frecency.rs,crates/aikit-core/tests/familiarity_v2.rs,aikit.html#q3/resolution,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""converted_from_sha256"": ""9f8f34f320e78a72402844f14f7cf0607485953264edee23e2ce2574c0027c0b"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""EpiLogos/O-I#97""], ""code_basis"": {""crates/aikit-core/src/frecency.rs"": ""a3c97e53adf4b57208bcb95dcceef3d7c2de8f52e08c5411922289d8ba9f9826""}}, ""cli_commands"": [""recent"", ""stats"", ""unused"", ""run"", ""shell init""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""Native CLI leaf commands recovered recursively from target/debug/aikit --help after a local build.""}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
H0->H2,relation,suite-relations,H0,H2,[],,,,,agent-inference,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),,,,02:ground-context,L,"{""src_product"": ""Central"", ""dst_product"": ""AIKit"", ""ql"": """", ""cf_view"": ""CF3"", ""seam"": ""02:ground-context"", ""defined_in"": ""O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR)"", ""tracked_by"": ""EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5""]}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
H0->A2,relation,suite-relations,H0,A2,[],,,,,agent-inference,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),,,,02:ground-context,L,"{""src_product"": ""Central"", ""dst_product"": ""AIKit"", ""ql"": """", ""cf_view"": ""CF3"", ""seam"": ""02:ground-context"", ""defined_in"": ""O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR)"", ""tracked_by"": ""EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5""]}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
H1->H2,relation,suite-relations,H1,H2,[],,,,,agent-inference,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),,,,12:agency-operative-body,H,"{""src_product"": ""Actuation"", ""dst_product"": ""AIKit"", ""ql"": ""B1"", ""cf_view"": ""CF3"", ""seam"": ""12:agency-operative-body"", ""defined_in"": ""O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR)"", ""tracked_by"": ""EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5""]}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
H1->A2,relation,suite-relations,H1,A2,[],,,,,agent-inference,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),,,,12:agency-operative-body,H,"{""src_product"": ""Actuation"", ""dst_product"": ""AIKit"", ""ql"": ""D2-transform"", ""cf_view"": ""CF3"", ""seam"": ""12:agency-operative-body"", ""defined_in"": ""O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR)"", ""tracked_by"": ""EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)"", ""maintenance"": {""updated_at"": ""2026-09-06"", ""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5""]}, ""last_reconciled_at"": ""2026-09-06T14:30:23.997737+00:00""}",
